grid_id,acronym
grid.5596.f,KUL
grid.5601.2,UMA
grid.5606.5,UniGe
grid.5607.4,ENS
grid.5608.b,UNIPD
grid.5612.0,UPF
grid.5613.1,uB
grid.5633.3,AMU
grid.5637.7,OFFIS
grid.5640.7,LiU
grid.5650.6,AMC
grid.5690.a,UPM
grid.5734.5,UB
grid.5805.8,UPMC
grid.5807.a,OvGU
grid.5809.4,SIVL
grid.5841.8,UB
grid.5853.b,ICFO
grid.5884.1,SHU
grid.5947.f,NTNU
grid.5949.1,WWU
grid.5970.b,SISSA
grid.5991.4,PSI
grid.6045.7,INFN
grid.6050.3,SMASH
grid.6054.7,CWI
grid.6057.4,SMHI
grid.6078.9,NLR
grid.6142.1,NUIG
grid.6162.3,URL
grid.6203.7,SSI
grid.6227.1,UTC
grid.6228.e,ERTICO
grid.6276.5,CRF
grid.6282.e,CDV
grid.6289.5,UBO
grid.6292.f,UNIBO
grid.6324.3,VTT
grid.6341.0,SLU
grid.6357.7,SUT
grid.6383.e,SICS
grid.6407.5,NIVA
grid.6484.e,TCL
grid.6518.a,UWE
grid.6583.8,VUW
grid.6603.3,UCY
grid.6652.7,ČVUT
grid.6717.7,VITO
grid.6722.1,TRL
grid.6734.6,TUB
grid.6759.d,BUTE
grid.6809.7,TUC
grid.6827.b,UTC-N
grid.6835.8,UPC
grid.6852.9,TU/e
grid.6862.a,TUBAF
grid.6884.2,TUHH
grid.6899.e,TUIAŞI
grid.6901.e,KTU
grid.6903.c,TUKE
grid.6906.9,EUR
grid.6933.f,FCBA
grid.6935.9,ODTÜ
grid.6935.9,METU
grid.6936.a,TUM
grid.6963.a,PUT
grid.6973.b,RTU
grid.6975.d,FIOH
grid.6986.1,TUT
grid.6988.f,TUT
grid.6992.4,UPT
grid.7048.b,AU
grid.7080.f,UAB
grid.7114.3,UACEG
grid.7119.e,UACh
grid.7123.7,AAU
grid.7130.5,PSU
grid.7132.7,CMU
grid.7143.1,OUH
grid.7147.5,AKU
grid.7151.2,CCS HAU
grid.7155.6,AU
grid.7157.4,UAlg
grid.7177.6,UvA
grid.7220.7,UAM
grid.7269.a,ASU
grid.7327.1,CSIR
grid.7338.f,UAç
grid.7345.5,UBA
grid.7354.5,EMPA
grid.7362.0,BU
grid.7399.4,UBB
grid.7400.3,UZH
grid.7427.6,UBI
grid.7429.8,INSERM
grid.7439.9,EUREC
grid.7439.9,EEIG
grid.7450.6,GAU
grid.7459.f,UFC
grid.7468.d,HU
grid.7489.2,BGU
grid.7492.8,UFZ
grid.7497.d,DKFZ
grid.7520.0,AAU
grid.7547.1,VKI
grid.7551.6,DLR
grid.7555.2,DFS
grid.7563.7,UNIMIB
grid.7597.c,RIKEN
grid.7605.4,UNITO
grid.7621.2,UB
grid.7628.b,OBU
grid.7632.0,UnB
grid.7683.a,DESY
grid.7692.a,UMC
grid.7719.8,CNIO
grid.7737.4,UH
grid.7759.c,UCA
grid.7778.f,UNICAL
grid.7787.f,BUW
grid.7821.c,UC
grid.7831.d,UCP
grid.7836.a,UCT
grid.7849.2,UCBL
grid.7861.8,ECN
grid.7870.8,UC
grid.7870.8,PUC
grid.7872.a,UCC
grid.7886.1,UCD
grid.7892.4,KIT
grid.7922.e,CU
grid.7942.8,UCL
grid.7943.9,UCLan
grid.7973.a,POLIS
grid.8048.4,UCLM
grid.8049.5,UCN
grid.8065.b,UoC
grid.8127.c,UOC
grid.8142.f,UCSC
grid.8148.5,LNU
grid.8170.e,PUCV
grid.8171.f,UCV
grid.8183.2,CIRAD
grid.8191.1,UCAD
grid.8193.3,UDSM
grid.8198.8,DU
grid.8207.d,TLÜ
grid.8217.c,TCD
grid.8269.5,UVG
grid.8273.e,UEA
grid.8295.6,UEM
grid.8348.7,JR
grid.8390.2,UEVE
grid.8395.7,UFC
grid.8399.b,UFBA
grid.8430.f,UFMG
grid.8453.a,INERIS
grid.8465.f,DIW
grid.8505.8,UW
grid.8515.9,CHUV
grid.8532.c,UFRGS
grid.8536.8,UFRJ
grid.8563.8,CRIC
grid.8570.a,UGM
grid.8581.4,IRTA
grid.8585.0,UG
grid.8591.5,UNIGE
grid.8653.8,KNMI
grid.8654.f,IASB
grid.8654.f,BIRA
grid.8657.c,FMI
grid.8658.3,CMA
grid.8663.b,NOA
grid.8664.c,JLU
grid.8668.0,IWT
grid.8669.1,EFI
grid.8682.4,NERC
grid.8767.e,VUB
grid.8784.3,STI
grid.8784.3,TI
grid.8842.6,BTU
grid.8905.4,UCTM
grid.8953.7,CEN
grid.8953.7,SCK
grid.8954.0,UL
grid.8974.2,UWC
grid.8982.b,UNIPV
grid.8991.9,LSHTM
grid.9001.8,MSM
grid.9004.d,HPA
grid.9018.0,MLU
grid.9024.f,UNISI
grid.9026.d,UH
grid.9067.8,GRNET
grid.9132.9,CERN
grid.9156.b,UHA
grid.9227.e,CAS
grid.9238.0,IPTS
grid.9285.6,INETI
grid.9344.a,NUI
grid.9370.d,ENAIRE
grid.9424.b,VGTU
grid.9427.8,BNTU
grid.9486.3,UNAM
grid.9489.c,IPGP
grid.9499.d,UNLP
grid.9563.9,UIB
grid.9580.4,RU
grid.9581.5,UI
grid.9612.c,UJI
grid.9613.d,FSU
grid.9619.7,HUJI
grid.9621.c,UJF
grid.9657.d,UCBM
grid.9668.1,UEF
grid.9670.8,UJ
grid.9679.1,PTE
grid.9689.e,UKAEA
grid.9762.a,KU
grid.9764.c,CAU
grid.9786.0,KKU
grid.9829.a,KNUST
grid.9841.4,SUN
grid.9845.0,LU
grid.9851.5,UNIL
grid.9905.5,ETU
grid.9925.7,NUL
grid.9970.7,JKU
grid.9982.a,SMU
grid.9984.c,HSE
grid.10041.34,ULL
grid.10049.3c,UL
grid.10097.3f,BSC
grid.10214.36,MKU
grid.10215.37,UMA
grid.10223.32,MU
grid.10267.32,MU
grid.10291.3b,UMG
grid.10306.34,WTSI
grid.10347.31,UM
grid.10359.3e,BAU
grid.10373.36,UNIMOL
grid.10383.39,UNIPR
grid.10403.36,IDIBAPS
grid.10412.36,UMI
grid.10417.33,RUNMC
grid.10419.3d,LUMC
grid.10421.36,UMSA
grid.10423.34,MHH
grid.10438.3e,UNIME
grid.10447.36,FCRB
grid.10491.3d,UMSS
grid.10516.33,ITU
grid.10570.33,IAI
grid.10594.39,UPEMLV
grid.10598.35,UNAM
grid.10599.34,UNALM
grid.10601.36,UNAH
grid.10604.33,UON
grid.10689.36,UNAL
grid.10690.3e,UNICEN
grid.10692.3c,UNC
grid.10698.36,UNC
grid.10699.37,UNSAAC
grid.10702.34,UNED
grid.10706.30,JNU
grid.10729.3d,UNA
grid.10757.34,UNN
grid.10772.33,NOVA
grid.10784.3a,CUHK
grid.10798.37,UNL
grid.10800.39,UNMSM
grid.10814.3c,UNR
grid.10818.30,NUR
grid.10821.3a,UNSa
grid.10824.3f,OAU
grid.10825.3e,SDU
grid.10837.3d,OU
grid.10894.34,AWI
grid.10914.3d,NIOZ
grid.10917.3e,IMR
grid.10919.30,UiT
grid.10939.32,UT
grid.10985.35,AUA
grid.11028.3a,UPA
grid.11081.39,TI
grid.11100.31,UPCH
grid.11134.36,UPD
grid.11135.37,PKU
grid.11142.37,UPM
grid.11159.3d,UPM
grid.11162.35,UPJV
grid.11173.35,PU
grid.11176.30,UPLB
grid.11184.3d,BPRC
grid.11348.3f,UP
grid.11375.31,IJS
grid.11450.31,UniSS
grid.11451.30,MUG
grid.11469.3b,FBK
grid.11477.34,UPT
grid.11478.3b,CRG
grid.11480.3c,EHU
grid.11480.3c,UPV
grid.11485.39,CRUK
grid.11486.3a,VIB
grid.11500.35,HAW
grid.11503.36,KIT
grid.11505.30,ITM
grid.11553.33,UNPAD
grid.11560.33,UNQ
grid.11567.34,UNIRC
grid.11586.3b,CMC
grid.11667.37,URCA
grid.11702.35,RUC
grid.11744.37,IBV
grid.11780.3f,UNISA
grid.11793.3d,USAC
grid.11794.3a,USC
grid.11866.38,UŚ
grid.11875.3a,USM
grid.11887.37,SUA
grid.11899.38,USP
grid.11906.3f,UPMF
grid.11956.3a,SU
grid.12039.39,ISIS
grid.12104.36,UNISWA
grid.12112.31,IFA
grid.12112.31,IFE
grid.12136.37,TAU
grid.12148.3e,UTFSM
grid.12284.3d,DUTH
grid.12295.3d,TiU
grid.12306.36,UT
grid.12332.31,LUT
grid.12337.34,DBAG
grid.12337.34,DB
grid.12341.35,UTAD
grid.12361.37,NTU
grid.12362.34,UWTSD
grid.12364.32,UL
grid.12370.37,ISQ
grid.12380.38,VU
grid.12527.33,THU
grid.12574.35,UTM
grid.12597.38,UNITUS
grid.12641.30,UU
grid.12711.34,UNIURB
grid.12799.34,UFV
grid.12810.3a,UVHC
grid.12832.3a,UVSQ
grid.12847.38,UW
grid.12916.3d,UWI
grid.12955.3a,XMU
grid.13001.33,UZ
grid.13063.37,LSE
grid.13097.3c,KCL
grid.13276.31,SGGW
grid.13291.38,SCU
grid.13349.3c,CNES
grid.13388.31,WZB
grid.13394.3c,XMU
grid.13399.31,YKI
grid.13402.34,ZJU
grid.13414.33,ZEW
grid.13428.3c,ZSW
grid.13464.34,IFP
grid.13508.3f,GEUS
grid.13515.33,JM
grid.13570.30,ADEME
grid.13622.34,EA
grid.13648.38,UKE
grid.13652.33,RKI
grid.13689.35,DEFRA
grid.13745.34,CSM
grid.13751.31,CTICM
grid.13756.36,SCI
grid.13822.3a,CEIT
grid.13825.3d,UNIR
grid.13829.31,MPIE
grid.13946.39,JKI
grid.13950.3e,NBO
grid.14001.34,ECP
grid.14003.36,UW
grid.14004.31,WUT
grid.14005.30,CNU
grid.14095.39,FU
grid.14105.31,MRC
grid.14127.31,PT
grid.14170.33,DMI
grid.14263.32,ASTU
grid.14329.3d,KU
grid.14332.37,CEFAS
grid.14335.30,MBA
grid.14352.31,MKU
grid.14416.36,ISRA
grid.14440.35,YU
grid.14454.30,SRI
grid.14467.30,STFC
grid.14476.30,MSU
grid.14509.39,JČU
grid.14617.35,ASTC
grid.14647.30,INESC-ID
grid.14750.37,TETALAP
grid.14751.36,RPF
grid.14758.3f,THL
grid.14826.39,IMP
grid.14830.3e,JIC
grid.14841.38,IFW
grid.14868.33,LBS
grid.15011.34,IFL
grid.15040.30,CERFACS
grid.15043.33,UdL
grid.15058.39,IUA
grid.15078.3b,IUB
grid.15140.31,ENSL
grid.15276.37,UF
grid.15312.34,INTA
grid.15363.32,INPT
grid.15399.37,INSA
grid.15447.33,SPbGU
grid.15449.3d,UPO
grid.15485.3d,HUCS
grid.15485.3d,HYKS
grid.15485.3d,HUCH
grid.15538.3a,KUL
grid.15540.35,ANSES
grid.15596.3e,DCU
grid.15606.34,BGR
grid.15649.3f,IFM-GEOMAR
grid.15667.33,IEO
grid.15683.39,ZSI
grid.15711.33,EUI
grid.15756.30,UWS
grid.15762.37,IMEC
grid.15775.31,HSG
grid.15781.3a,UPS
grid.15788.33,WU
grid.15810.3d,CUT
grid.15819.34,ONUÉSC
grid.15819.34,UNESCO
grid.15866.3c,ČZU
grid.15866.3c,CULS
grid.15935.3b,STUK
grid.16058.3a,SUPSI
grid.16068.39,ECN
grid.16117.30,BRGM
grid.16189.37,ITAINNOVA
grid.16299.35,OPA
grid.16299.35,AUEB
grid.16326.30,LNEC
grid.16388.34,BM
grid.16416.34,UR
grid.16463.36,UKZN
grid.16477.33,MU
grid.16527.37,MICINN
grid.16563.37,UNIPMN
grid.16610.30,CIUP
grid.16662.35,AQU
grid.16697.3f,EMÜ
grid.16719.38,ESF
grid.16753.36,NU
grid.16813.3d,NIMR
grid.16821.3c,SJTU
grid.16872.3a,VUMC
grid.16890.36,HKPU
grid.16982.34,HKR
grid.16989.3f,FEEM
grid.16990.37,IEEP
grid.17033.36,TC
grid.17088.36,MSU
grid.17091.3e,UBC
grid.17095.3a,CEAM
grid.17133.37,FNSP
grid.17165.34,WSFiZ
grid.17236.31,BU
grid.17272.31,DFKI
grid.17303.36,UK-HERI
grid.17329.3e,DU
grid.17330.36,RSU
grid.17374.36,CIRA
grid.17380.3d,INECO
grid.17423.33,IAC
grid.17513.31,ENRESA
grid.17516.34,MBEL
grid.17595.3f,NIAB
grid.17673.34,EHESS
grid.17678.3f,BSU
grid.17703.32,CIRC
grid.17703.32,IARC
grid.17758.3c,MAI
grid.17794.3c,NUK
grid.17866.3e,CPMC
grid.18038.32,LUISS
grid.18048.35,UoH
grid.18068.37,EAER
grid.18101.39,ISU
grid.18112.3b,BAU
grid.18192.33,NTU KhPI
grid.18192.33,KPI
grid.18228.31,Aimplas
grid.18377.3a,ESRI
grid.18665.3c,ITYE
grid.18665.3c,CTI
grid.18665.3c,RACTI
grid.18763.3b,MIPT (SU)
grid.18827.34,CEN
grid.18883.3a,UiS
grid.18886.3f,ICR
grid.18888.31,TSL
grid.19003.3b,IITR
grid.19006.3e,UCLA
grid.19008.30,SAP
grid.19061.3f,ITENE
grid.19096.37,ICMR
grid.19100.39,NII
grid.19169.36,NILU
grid.19188.39,NTU
grid.19190.30,VDU
grid.19208.32,ULS
grid.19214.3f,TfL
grid.19241.3f,ARC
grid.19373.3f,HIT
grid.19390.32,INSTM
grid.19477.3c,NMBU
grid.19603.3d,UK-ISRI
grid.19739.35,ZHAW
grid.19760.39,APRE
grid.19822.30,BCU
grid.20055.32,VTI
grid.20192.38,PIN
grid.20256.33,JAEA
grid.20260.36,KCL
grid.20264.32,LEITAT
grid.20364.33,UAL
grid.20384.3d,INESC TEC
grid.20419.3e,ZSL
grid.20431.34,URI
grid.20513.35,BNU
grid.20542.31,NRG
grid.20567.36,VSU
grid.20653.32,LEI
grid.20670.33,ISMB
grid.20736.30,UFPR
grid.20757.37,IAI
grid.20861.3d,CIT
grid.20898.3b,UNIS
grid.20931.39,RVC
grid.21051.37,FHF
grid.21051.37,HFU
grid.21072.36,YSU
grid.21107.35,JHU
grid.21113.30,SZE
grid.21155.32,BGI
grid.21200.31,DEÜ
grid.21354.31,BSMU
grid.21507.31,UJAEN
grid.21507.31,UJA
grid.21510.37,LTU
grid.21619.3d,CETIM
grid.21626.31,ITEP
grid.21678.3a,TBU
grid.21729.3f,CU
grid.21839.31,UEFISCSU
grid.21941.3f,NIMS
grid.22040.34,LNE
grid.22058.3d,ANR
grid.22061.37,ICS
grid.22069.3f,ECNU
grid.22072.35,UoC
grid.22098.31,BIU
grid.22147.32,UT1
grid.22248.3e,UMFT
grid.22254.33,PUMS
grid.22294.3f,AGAUR
grid.22319.3b,PML
grid.22401.35,TIFR
grid.22459.38,NHRF
grid.22532.34,BZU
grid.22557.37,ZČU
grid.22589.34,UNIFE
grid.22609.3f,MARIN
grid.22631.34,SOAS
grid.22642.30,Luke
grid.22793.3d,CEPS
grid.22793.3d,EPC
grid.22903.3a,AUB
grid.22919.31,FCT
grid.22935.3f,CAU
grid.22954.38,CRA-W
grid.23082.3b,UTBM
grid.23218.3a,TERENA
grid.23231.31,LMU
grid.23378.3d,UHI
grid.23391.3a,ONLUS
grid.23391.3a,IFRF
grid.23520.36,UBU
grid.23618.3e,DFO
grid.23725.31,CCFRA
grid.24029.3d,CUH
grid.24046.34,EACL
grid.24046.34,AECL
grid.24194.3a,GMI
grid.24349.38,WIT
grid.24377.35,UMB
grid.24433.32,CNRC
grid.24433.32,NRC
grid.24434.35,NU
grid.24434.35,UNL
grid.24515.37,HKUST
grid.24526.37,MIIT
grid.24539.39,RUC
grid.24695.3c,BUCM
grid.24696.3f,CMU
grid.24696.3f,CCMU
grid.24696.3f,CUMS
grid.24704.35,AOUC
grid.24753.37,CATIE
grid.24805.3b,NMSU
grid.24827.3b,UC
grid.24999.3f,HZG
grid.25055.37,MUN
grid.25111.36,FFWF
grid.25111.36,FWF
grid.25154.37,ΕΚΕΤΑ
grid.25154.37,CERTH
grid.25488.33,CTU
grid.25588.32,UwB
grid.25627.34,MMU
grid.25690.38,HP
grid.25881.36,NWU
grid.25996.31,CNISM
grid.26055.34,INESCOP
grid.26140.31,REC
grid.26141.30,UPE
grid.26193.3f,TSU
grid.26194.38,SEUA
grid.26306.31,SFPA
grid.26306.31,FRS
grid.26618.3b,CPR
grid.26693.38,UAb
grid.26790.3a,U Miami
grid.26790.3a,UM
grid.26811.3c,UMH
grid.26877.3c,NAGREF
grid.26999.3d,UT
grid.27029.3e,MBB
grid.27235.31,HHS
grid.27235.31,DHHS
grid.27255.37,SDU
grid.27324.30,AAAS
grid.27446.33,NENU
grid.27463.34,UNISG
grid.27593.3a,DSHS
grid.27667.32,EUA
grid.27729.39,UTT
grid.27736.37,TPU
grid.27755.32,UVA
grid.27860.3b,UCD
grid.27871.3b,NAU
grid.27883.36,IPVC
grid.28056.39,ECUST
grid.28121.38,HSVA
grid.28171.3d,UNN
grid.28312.3a,NICT
grid.28326.3d,CNIT
grid.28367.38,IRT
grid.28371.3f,BBC
grid.28390.30,DT
grid.28409.37,CTTC
grid.28455.3e,KHU
grid.28479.30,URJC
grid.28541.3a,FZI
grid.28598.3e,CINI
grid.28894.3f,IMM
grid.28911.33,HUC
grid.29050.3e,MIUN
grid.29078.34,USI
grid.29109.33,BM
grid.29160.3c,IVW
grid.29172.3f,UL
grid.29251.3d,PSUT
grid.29273.3d,UB
grid.29328.32,UMCS
grid.29524.38,UMC
grid.29769.33,DNU
grid.29773.38,GET
grid.29857.31,PSU
grid.29869.3c,KRICT
grid.30055.33,DUT
grid.30064.31,WSU
grid.30070.34,UIC
grid.30073.37,BRE
grid.30311.30,IVI
grid.30420.35,IUSS
grid.30434.30,CSGI
grid.30760.32,MCW
grid.30820.39,MU
grid.30977.3a,RATP
grid.31147.30,RIVM
grid.31501.36,SNU
grid.31564.35,KTU
grid.31567.36,BfS
grid.31880.32,BUPT
grid.32197.3e,TIT
grid.32224.35,MGH
grid.32495.39,SPbPU
grid.32509.3d,ACU
grid.32776.37,RUA
grid.33058.3d,KEMRI
grid.33070.37,UOB
grid.33199.31,HUST
grid.33224.34,ISU
grid.33235.34,FMSH
grid.33236.37,UniBg
grid.33440.30,MUST
grid.33489.35,UD
grid.33647.35,RPI
grid.33695.3a,DIT
grid.33762.33,JINR
grid.33763.32,TJU
grid.33764.35,HEU
grid.33801.39,HU
grid.33997.37,SPC
grid.33998.38,USP
grid.34169.39,UCL
grid.34197.38,PCz
grid.34197.38,CUT
grid.34421.30,ISU
grid.34477.33,UW
grid.34555.32,KNU
grid.34646.33,CAST
grid.34822.3f,IPB
grid.34980.36,IISc
grid.34988.3e,FUB
grid.35043.31,MISIS
grid.35135.31,SPbAU
grid.35155.37,HZAU
grid.35247.37,IUNET
grid.35403.31,UIUC
grid.35541.36,KIST
grid.35843.39,SEI
grid.35915.3b,ITMO
grid.36083.3e,UOC
grid.36110.35,AU
grid.36193.3e,OEEC
grid.36193.3e,OCDE
grid.36193.3e,OECD
grid.36212.34,BL
grid.36303.35,ETRI
grid.36425.36,SBU
grid.36823.3c,CNAM
grid.36895.31,IPL
grid.37172.30,KAIST
grid.37179.3b,KUL
grid.37415.34,EUSP
grid.37429.3b,RSE
grid.37472.35,WMU
grid.37553.37,JUST
grid.37589.30,NCU
grid.37600.32,BSU
grid.37678.3d,SKB
grid.37728.39,BU
grid.37828.36,UKSH
grid.38225.3e,FBK
grid.38275.3b,DWD
grid.38348.34,NTHU
grid.38575.3c,YTU
grid.38587.31,HVRI
grid.38678.32,UQÀM
grid.38926.36,MSU
grid.38936.37,BASt
grid.39290.31,IRH
grid.39325.3e,KNUTD
grid.39381.30,UWO
grid.39382.33,BCM
grid.39436.3b,SHU
grid.39572.3a,MUCTR
grid.39591.37,RIM
grid.39679.32,NMT
grid.39679.32,NMIMT
grid.39768.33,CIDETEC
grid.39936.36,CUA
grid.39953.35,ISI
grid.40368.39,IFR
grid.40602.30,HZDR
grid.40803.3f,NCSU
grid.41156.37,NJU
grid.41156.37,NU
grid.41405.34,GTU
grid.41619.3b,AZM
grid.41719.3a,UMIT
grid.41891.35,MSU
grid.42050.33,UVT
grid.42167.36,RCA
grid.42271.32,USJ
grid.42399.35,CHU
grid.42475.30,LMB
grid.42505.36,USC
grid.42687.3f,UNIST
grid.42781.38,ECMWF
grid.43086.39,UCF
grid.43169.39,XJTU
grid.43308.3c,CAFS
grid.43322.34,LBEK
grid.43519.3a,UAEU
grid.43555.32,BIT
grid.43582.38,LLU
grid.43914.3b,CTI
grid.43969.31,CUAHSI
grid.44214.37,VMRF
grid.44871.3e,MU
grid.45083.3a,LSMU
grid.45199.30,UOM
grid.45203.30,NCGM
grid.45349.3f,ISCTE-IUL
grid.45419.3d,OCAD U
grid.45672.32,KAUST
grid.45907.3f,NTUST
grid.45978.37,SDU
grid.45982.32,TU
grid.46072.37,UT
grid.46078.3d,UW
grid.46699.34,KCH
grid.47170.35,UWIC
grid.47244.31,CIT
grid.47840.3f,UCB
grid.47894.36,CSU
grid.48004.38,LSTM
grid.48142.3b,IRSTEA
grid.48166.3d,BUCT
grid.48336.3a,NCI
grid.48472.3d,IvSU
grid.48507.3e,AANL
grid.48815.30,DMU
grid.48862.30,MoD
grid.49100.3c,POSTECH
grid.49470.3e,WHU
grid.49791.32,ZU
grid.50550.35,AP-HP
grid.50971.3a,UNNC
grid.51008.3c,UCA
grid.51462.34,MSKCC
grid.51462.34,MSK
grid.52593.38,GTK
grid.52681.38,BRACU
grid.52788.30,WT
grid.52996.31,UCLH
grid.53857.3c,USU
grid.53959.33,IDRI
grid.53964.3d,SBRI
grid.54432.34,JSPS
grid.54549.39,UESTC
grid.54642.31,KASI
grid.55033.30,AUI
grid.55047.33,NCRD
grid.55380.3b,ENU
grid.55460.32,UT System
grid.55594.38,NRI
grid.55614.33,AAFC
grid.55834.3f,IPCB
grid.55940.3d,DIAS
grid.56046.31,HMU
grid.56302.32,KSU
grid.56466.37,WHOI
grid.56912.39,IBBT
grid.57544.37,HC
grid.57828.30,NCAR
grid.57981.32,DH
grid.58095.31,SCBIT
grid.58140.38,ENSMP
grid.58296.30,NZS
grid.58949.39,NRPB
grid.59025.3b,NTU
grid.59053.3a,USTC
grid.59056.3f,CU
grid.59062.38,UVM
grid.59490.31,RGU
grid.59734.3c,ISMMS
grid.59734.3c,MSSM
grid.59784.37,NHRI
grid.59877.34,EH
grid.59914.30,DECHEMA
grid.60969.30,UEL
grid.61221.36,K-JIST
grid.61221.36,GIST
grid.61569.3d,MSTU
grid.61569.3d,BMSTU
grid.61777.30,UFT
grid.61971.38,SFU
grid.62139.3f,AURA
grid.62167.34,JAXA
grid.62560.37,BWH
grid.62813.3e,IIT
grid.63124.32,AU
grid.63833.3d,AWRE
grid.63833.3d,AWE
grid.63906.3a,NCCHD
grid.63984.30,MUHC
grid.64212.33,ISB
grid.64337.35,LSU
grid.64523.36,NCKU
grid.64938.30,NUAA
grid.64939.31,BUAA
grid.65456.34,FIU
grid.65519.3e,OSU
grid.67105.35,CWRU
grid.69474.38,WAT
grid.69775.3a,USTB
grid.70738.3b,UAF
grid.70909.37,NIBSC
grid.71062.32,OS
grid.71433.32,FFA
grid.71566.33,BAM
grid.72447.32,GRS
grid.72849.30,Si
grid.72859.31,CTIF
grid.72925.3b,MRI
grid.72943.3b,GANIL
grid.73113.37,SMMU
grid.73263.33,IFS
grid.75060.34,CESIT
grid.75276.31,IIASA
grid.75318.38,ICL
grid.75496.39,INEGI
grid.75499.36,AVL
grid.76978.37,RAL
grid.77048.3c,INED
grid.77225.35,ASU
grid.77268.3c,KFU
grid.77354.32,UTM
grid.77431.36,OmSU
grid.77443.33,SSU
grid.77602.34,TSU
grid.77611.36,PGU
grid.77611.36,PSU
grid.77642.30,PFUR
grid.77667.37,NSTU
grid.77674.35,IUM
grid.77728.3d,CSU
grid.77852.3f,MPEI
grid.77914.3c,KNRTU
grid.78065.3c,KSMU
grid.78074.3c,MREI
grid.78074.3c,BSUIR
grid.78757.3a,ONPU
grid.78780.30,AUA
grid.78781.31,TSU
grid.78784.34,MGSU
grid.78932.37,MATI
grid.78989.37,IAS
grid.79011.3e,SSAU
grid.79330.3e,SATRA
grid.79703.3a,SCUT
grid.79740.3d,YUTCM
grid.80510.3c,SAU
grid.80817.36,TU
