title,description,website,excerpt,participants,start_date,end_date,private,online,address,address2,city,country,state,latitute,longitude,postcode
Nanoprobe-amplified spectroscopic assay for accurate assessment of ovarian cancer burden in peripheral blood,"Although cancer antigen CA125 (MUC16) is an established biomarker for ovarian cancer, the sensitivity and specificity of existing detection methods are inadequate. Here, we propose to combine the extraordinary specificity of vibrational spectroscopy with the molecular amplification of plasmonic nanoparticles to address this diagnostic problem. Specifically, we will design, synthesize and characterize novel nanostructured surface enhanced Raman scattering (SERS) reporters and subsequently use the SERS-based platforms for ultra-sensitive detection of free CA125 in blood serum to predict disease behavior. Further, a SERS microscopy system will be developed to image, for the first time, the specific surface interactions of CA125 antigen with receptors in blood leukocytes to understand what mucin/leukocyte immunologic interactions drive ovarian cancer elimination, equilibrium, or escape.",http://www.uicc.org/programmes/geti/our-activities/beginning-investigators,,"Ram Prasad, Ishan Barman",6/14/2016,6/15/2016,TRUE,FALSE,"Amity University Campus, Sector 125, 201 303 Noida, Uttar Pradesh",,Noida,India,,28.543792,77.331007,
When can cervical screening safely be ceased?,"The aim of this project is to provide evidence on appropriate age and screening history combinations to safely cease cervical screening in developed countries with organised screening programmes and to provide insights into cervical screening applicable to low and middle income countries. This is a complex issue, and different approaches have been used to study the problem in different countries, complicating the comparison of results internationally. The project will synthesize two leading methodologies, one which is used by researchers at the home institute and the other at the host institute, with the aim of validating our different approaches to research into cervical screening strategies. There are methodological issues associated with each strategy that are not yet resolved, and this project will attempt to address two of these issues.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Rebecca Landy, Mark Schiffman",5/15/2016,8/15/2016,TRUE,FALSE,"Centre for Cancer Prevention Queen Mary, University of London Wolfson Institute of Preventive Medicine Charterhouse Square",,London,United Kingdom,,51.520846,-0.098832,
KSHV envelope glycoprotein K8.1 virus-like particle-based vaccine,"Kaposiäó»s sarcoma is the leading cause of cancer in HIV infected persons. It is caused by infection with Kaposiäó»s sarcoma-associated herpesvirus, which is endemic in sub-Saharan Africa. This is also the part of the world most affected by the HIV/AIDS epidemic. Out of 34 million HIV-infected individuals worldwide, 24 million (69%) live in sub-Saharan Africa. The current treatment options for Kaposiäó»s sarcoma are limited, and the disease is often incurable. The goal of this study is to develop and test a sub-unit vaccine with an outstanding potential to blunt Kaposiäó»s sarcoma-associated herpes virus infection. Successful implementation of this study will lead to an effective vaccine capable of preventing Kaposiäó»s sarcoma.",http://www.uicc.org/programmes/geti/our-activities/beginning-investigators,,"Anne Barasa, Javier Gordon Ogembo",7/16/2016,6/16/2016,TRUE,FALSE,University of Nairobi / Kenyatta National Hospital,"Off Ngong Road, P.O Box 19676",Nairobi,Kenya,,-1.298163,36.804412,
A study of prevalence of HPV and determinants of poor outcomes of HIV positive and negative patients with oropharyngeal cancers in Botswana,"Oropharyngeal cancer (OPSCC) is an increasing public health problem worldwide. Recent studies indicate that human papillomavirus (HPV) infection is the main driving force of this new epidemic. We believe that HPV-positive OPSCC is more prevalent compared HPV-negative OPSCC among HIV patients and that HIV-infected patients receiving appropriate antiretroviral therapy (ART) have worse outcomes compared to HIV non-infected patients after controlling for HPV. To develop the preliminary data required to assess these critical questions, we will conduct a cohort study on all patients receiving treatment for OPSCC in Botswana in order to determine the relative contribution of HPV to the overall burden of OPSCC in the country. We will also determine the differences in treatment tolerability between HIV positive and negative patients and evaluate predictors of poor tolerability and local control (e.g. ART, CD4 count, total treatment time, stage, smoking history and HPV-subtype) in both groups.",http://www.uicc.org/programmes/geti/our-activities/beginning-investigators,,"Surbhi Grover, Doreen Masire",5/15/2016,4/16/2016,TRUE,FALSE,The Trustees of the University of Pennsylvania,"3400 civic center blvd, TRC 2 Dept of Radiation Oncology",Philadelphia,United States,,39.947226,-75.193073,
Study the methylation and Acetylation status of Xi and Xa chromosome in normal and cancerous breast epithelial cells.,"Histone deacetylases (HDACs) play an important role in maintenance of inactive X chromosome (Xi) and HDAC inhibitors (HDACi) have emerged as a promising new therapeutic strategy for breast and ovarian cancers. However, due to lack of the knowledge on involvement of specific HDAC(s) in Xi maintenance, the HDACi treatment results in several side effects due to the overlapping functions among the HDACs. Furthermore, research has established a link between BRCA1 and XIST (a long non-coding RNA responsible for maintenance of Xi), BRCA1 and HDAC and Xi and hypoacetylation. The present study is aimed at identifying the specific HDAC isoform involved in Xi maintenance and thereby help in designing a treatment strategy involving HDACi specific to the HDAC involved in Xi maintenance and development of female cancers.",http://www.uicc.org/programmes/geti/our-activities/beginning-investigators,,"Arunasree Kalle, Zhibin Wang",6/15/2016,5/16/2016,TRUE,FALSE,University of Hyderabad,P.O. Central University University of Hyderabad Hyderabad,Hyderabad,India,,17.458209,78.331345,
"Case-control study on water pipe smoking, cooking methods and risk of stomach and colorectal cancers","Purpose: To determine risks of stomach and colorectal cancers due to waterpipe smoking, cooking methods in an interaction with CYP1A1 and GSTM1 and Helicobacter pylori infection by a Molecular Epidemiological Case-control study in the North Viet Nam. Study Population: Our hospital-based case-control study on stomach and colorectal cancer from 2003 to 2011 has recruited successfully for 725 incident cases of stomach, 195 incident cases of colon, 227 incident cases of rectal cancers. Controls of 1,186 cases were selected from the patients who were hospitalized for surgery in these hospitals during the same period, matching on .a sex and age +/- 5. Expected findings: The present study will determine for the association between waterpipe smoking, cooking methods and the risk of stomach and colorectal cancers. The results will increase our understanding and controlling tobacco smoking and dietary risks of these cancer sites.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Ngoan Le, Akiba Suminori ",11/15/2016,1/16/2016,TRUE,FALSE,Hanoi Medical University,"Department of Occupational Health, Ton That Tung",Hanoi,Viet Nam,,21.003657,105.830253,
Compound screening for the identification of LMTK3 kinase-inhibitors,"One of the most important pathways in breast cancer involves estrogen. Estrogen binds to Estrogen Receptor alpha (ERa) and stimulates cells to turnover more rapidly - this is the major pathway in breast cancer but one we do not know how to fully control, especially when it becomes resistant or unresponsive to regular treatments like tamoxifen. However, ERa may also be controlled by other proteins, called kinases, and because both ERa and kinases are so important, we want to study the type of transcriptional control that kinases cause. We have recently identified a novel kinase (LMTK3) that regulated ERa activity and its functions. In addition we discovered that LMTK3 is also implicated in metastasis in breast cancer. Further studies of LMTK3 will enable the development of new therapies against breast cancer. The work described will help us identify (and further optimise) inhibitors/drugs against LMTK3 that can be used for in vitro, in vivo and hopefully clinical applications.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Georgios Giamas, Konstantinos Vorgias",6/15/2016,8/15/2016,TRUE,FALSE,"Hammersmith Hospital IRDB building, 3rd floor Du Cane Road, London, W12 0NN",,London,United Kingdom,,51.491188,-0.223731,
Molecular characterization of CTC in prostate cancer,"The androgen receptor (AR) is the primary driver of prostate cancer as it activates downstream signals for cell growth, invasion, and survival. Androgen deprivation therapy (ADT) is a frontline treatment for prostate cancer patients but most patients develop mechanisms of resistance to AR-targeted therapy and progress to a lethal state. It has recently been recognized that expression of AR splice variants is one of the key mechanisms conferring resistance to ADT. The goal of this project is to develop a sensitive and specific detection method to quantify simultaneously the expression of AR wild type (AR-wt) and splice variants in circulating tumor cells (CTCs) -isolated from PC patientsäó» peripheral blood- using multiplex RT-qPCR.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Areti Strati, Paraskevi Giannakakou ",11/15/2016,1/16/2016,TRUE,FALSE,National and Kapodistrian University of Athens,6 Chr. Lada,Athens,Greece,,37.968196,23.778687,
"Training Course for Master Trainers in Breast, Cervical, Colorectal and Oral Cancer Early Detection and Control","The Sri Lankan Ministry of Health (MOH) has a National Plan for Cancer Prevention and Control (NCCP) and has developed a National Policy and Strategic Framework to implement the national cancer plan to prevent and control cancers. The MOH is investing resources in reorienting primary and secondary care personnel in cancer prevention and early detection of common cancers through in-service training programmes. The success of these programmes require well trained master trainers in the prevention and early detection of common cancers in Sri Lanka, who in turn will be used for the reorientation of primary and secondary care personnel. In this context, the Screening Group (SCR) at the International Agency for Research on Cancer (IARC-WHO) has been requested to organize a 4-day training course on Cancer Early Detection and Control of breast, cervix, colorectal and oral cancers to generate a team of master trainers.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Rengaswamy Sankaranarayanan,5/15/2016,5/15/2016,TRUE,FALSE,International Agency for Research on Cancer,Cours Albert Thomas,Lyon,France,,45.743411,4.875108,
Workshop for pediatric radiation oncologists from low and middle-income countries,"The workshop will take place in conjunction with the Pediatric Radiation Oncology Society biennual congress in Slovenia from June 24-27, 2015. The aim of workshop will be to provide education to up to 20 radiation oncologist practicing in low- and middle-income countries in basic radiotherapy techniques applicable to children treated in resource-constrained enviroment. Participants will be selected by the PROS Scientific Committee based on a submitted abstract, which should explain the current state of pediatric radiation oncology in their country, their expectations with respect to the training received at the workshop, and their plans for implementation and utilization of acquired knowledge. The home institutions will be required to submit a letter of support of their candidates in pediatric radiation oncology program development following the workshop. Candidates will be also asked to submit one or 2 cases without patient identifiers for building teaching materials around them.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Natia Esiashvili,6/15/2016,6/15/2016,TRUE,FALSE,Paediatric Radiation Oncology Society,Centre Lí©on Bí©rard Dept. Radiation Oncology 28 rue Laennec 69373 Lyon cedex 08,Lyon,France,,45.764043,4.835659,
Enhancing population-based cancer registration in Kenya through training of cancer registry personnel,"The overall aim of this training is to strengthen cancer registry capacity in Kenya, to produce quality data for use in planning, performing and evaluating cancer prevention and control services in Kenya.There are currently five cancer registries established and three targeted to begin this year. The training will aim at harmonizing the tools for use in Cancer Registries for ease of merging the data into one central database and to avail that data to the Ministry of Health and all other stakeholders for use in cancer control. The training will cover principles and methods of developing cancer registries, coding and classification using international Classification of Diseases for Oncology, Staging using TNM, follow up methods to determine cancer survival, time trends and analysis including use of Canreg5 database.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Anne Korir,6/15/2016,7/15/2016,TRUE,FALSE,Kenya Medical Research Institute,Off Mbagathi Road,Nairobi,Kenya,,-1.313502,36.804339,
Formation francophone pour Iniateurs d'une service des soins palliatifs,"The objective of the course is to enable health professionals from francophone African countries where palliative care is not established to initiatiate a service in those countries. At the end of the course participants will understand that the rudiments an affordable palliative care culturally appropriate to their country. They will be enabled to advocate for affordable palliative care to their fellow professionals, to donors and governments. Le cours est composí© de : -Introduction aux concepts des soins palliatifs. -íŠvaluation & Gestion des douleurs et des symptíÇmes. -Pratique des gestes cliniques. -Formation des formateurs. Convient pour -Mí©decins. -Infirmiers(íÂres) / sages-femmes -Aide soignant(e)s -Les pharmaciens et les agents de santí©.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,James Bennett,4/14/2016,5/14/2016,TRUE,FALSE,Hospice Africa (Soins Palliatifs) France,2 Place Martray,Jugon-les-lacs,France,,48.408998,-2.321719,
Advancing Supportive Cancer Care and Healing: Evidence-Based Training for Oncology Nurses in Georgia,"This workshop will advance palliative care education and the capacity of professional nurses in Georgia to improve quality of life among adult oncology patients. This will be achieved through the delivery of evidence-based training modules pre-selected by Georgian physicians and nurses, and identification of early innovators and key collaborators so as to position the field of nursing oncology for successful long-term development. Content will focus on state-of-science skills that nurses can carry out to relieve patientsäó» cancer and treatment-related symptoms; reduce patientsäó» anxiety and depressed mood; and enhance patient and caregiver illness-management skills and competencies. The project includes a day of observing nurses in practice, a 3-day intensive workshop, consultation with Tbilisi State Medical University faculty on integrating the modules into the TSMU nursing curriculum as well as on-site follow-up and coaching of purposefully-selected nurse participants.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Allison Dvaladze,5/14/2016,8/15/2016,TRUE,FALSE,825 Eastlake Av E,,Seattle,United States,WA,47.62652,-122.329569,
Cancer registration workshop in North Africa,"WHO and several other research groups have recognized the importance of population cancer registries, as an essential tool for health research. The availability of data on cancer is an important element for the implementation of a cancer control program. These data are essential for our country .They provide a reliable indication of the profile of cancer, indicating incidence rates, trends and survival. These data are also important for the region and the world. Our goal is to implement this training for the cancer registries in Algeria and neighboring countries in Maghreb. The experience of cancer registry Setif, and the presence of international experts in cancer registration can provide this training. The target audience is the health workers in cancer registration in Algeria, Tunisia and Morrocco. The number is 50 physicians and technicians working in the cancer registries",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Mokhtar Hamdi Cherif,2/14/2016,2/14/2016,TRUE,FALSE,Hospital Center University,Street Bel Air,Setif,Algeria,,36.196903,5.415087,
Use of the African Palliative Outcome Scale (POS) to improve cancer care in Ghana,"The Palliative Outcome Scale (POS) is a validated patient reported outcome measure which is widely used in palliative care in Europe, Australia, Asia, Africa and America. This workshop is aimed at professionals in palliative and end-of-life care in Ghana. The workshop combines theory and hands-on exercises. Participants also have the opportunity to tailor this training to their local needs, by choosing the most relevant parallel group session. It is anticipated that participants will come to: understand the role that outcome measurement, and POS in particular, can play in improving the quality, efficiency and availability of palliative care; develop skills in outcome measurement in general; be updated regarding outcome measurement resources and how to ensure their use in practice; review barriers to the implementation and use of outcome measures in practice and learn strategies to overcome these barriers. Use of POS in research will also be covered.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Joe Harford,3/14/2016,3/14/2016,TRUE,FALSE,"9609 Medical Center Dr., Rm. 3W536",,Rockville,United States,,39.103411,-77.196553,
Cervical cancer screening and precancer treatment,"This is a series of training workshops in Myanmar to build capacity for visual inspection with acetic acid (VIA) to screen for cervical cancer and cryotherapy to treat any cervical precancer found. There is already capacity among gynecologists at the regional hospitals in Mandalay and Yangon to offer loop electrosurgical excision procedures (LEEP) for more complex precancers and surgery for invasive cancer if found. The first workshop will be conducted by external faculty to train 5äóñ7 clinicians who will eventually become master trainers. About two months later, the external trainers will return to complete the training-of-trainers course and observe and support the local trainers as they train midwives in the two districts designated by the Ministry of Health (MOH) as the first ones in the country to pilot a government screening program (Pyin Oo Lwin and Yamethin). The MOH has set cervical cancer prevention as a high priority, but they need to develop local training capacity.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Jose Jeronimo,12/13/2016,5/14/2016,TRUE,FALSE,Program for Appropriate Technology in Health,Suite 200,Seattle,United States,,47.618325,-122.339425,
McCabe Centre for Law and Cancer Intensive Legal Training Workshop,"The workshop will provide intensive training on äóÖlaw and canceräó» issues, primarily to government lawyers from low- and middle- income countries, through a combination of presentations, discussion and work on individual priority projects. It will touch on a range of legal issues relating to cancer prevention (tobacco, alcohol and obesity) and treatment (including access to medicines), with a focus on prevention, particularly the WHO Framework Convention on Tobacco Control. It will address cross-cutting legal issues, and include sessions on advocacy, public health leadership and building collaborations. Participants will be identified and invited through McCabe Centre, WHO, UICC and other networks. The primary criterion is that participants will benefit from the training in a way that will contribute to real-world progress in their country or region. This workshop will be unique in offering sufficient time (4 weeks) to engage in detail with a range of critical issues.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Jonathan Liberman,2/14/2016,2/14/2016,TRUE,FALSE,McCabe Centre for Law and Cancer,100 Drummond Street,Carlton,Australia,,-37.804233,144.967936,
Improving access to opioids for cancer pain management in Regional Cancer Centers in India,"Most large cancer hospitals in India, including government-designated lead cancer centers do not have personnel trained to administer morphine and other pain medications judiciously. National Cancer Control Program of India recognizes palliative care as an essential part of comprehensive cancer care and recommends 10% of the budget earmarked for these services at all level of services delivery. In 2014, the Government of India passed legislation for a uniform modified Narcotic Drug and Psychotropic Substance Act (NDPS) across the country. In view of this new act and in order for its effective implementation, a workshop is proposed for the oncologists, nurses, pharmacists and policy makers of Regional Cancer Centers in India. The objective is to educate and advocate judicious use of opioids like oral morphine in cancer pain management, to understand the new modified NDPS Act and to develop a standard operating procedure for its implementation across major cancer hospitals in India.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Gayatri Palat,2/15/2016,2/15/2016,TRUE,FALSE,"MNJ Institute of Oncology and RCC, Redhills",,Hyderabad,India,,17.398954,78.462406,
Training Workshop,"To train and update knowledge of the SNCR staff in (Expected transferable skills): 1. Review methods of data collection including modern data collection forms . 2. Quality control and detection of duplicate cases. 3. CanReg5; data entry, coding. 4. Data analysis. 5. Report writing and publication (standard tables of a first report).",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Ahmed Salih,6/14/2016,6/14/2016,TRUE,FALSE,Sudan National Cancer Registry,Nile,Khartoum,Sudan,,15.597989,32.529198,
To train Moroccan master trainers in screening and treating cervical cancer,Morocco recently launched a National Plan for Cancer Prevention and Control. Priority is being given to screening for cervical and breast cancers. As cytology screening for cervical cancer is not feasible throughout the country they have chosen to screen by visual inspection with acetic acid (VIA). The introduction of the nationwide scale cervical cancer screening program can be made on medium-term. With this aim in mind Lalla Salma Association against Cancer (ALSC) approached the Screening Group (SCR) at the International Agency for Research on Cancer to train 15 Moroccan master trainers in VIA and treatment of precancerous lesions by cold coagulation and loop electrosurgical excision procedure (LEEP). SCR has a large cervical cancer prevention program in rural India and proposes to run the training course there where they will be ensured of seeing women with various different cervical lesions for a successful hands-on training course.,http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Rengaswamy Sankaranarayanan,11/14/2016,11/14/2016,TRUE,FALSE,International Agency for Research on Cancer,Cours Albert Thomas,Lyon,France,,45.743411,4.875108,
IARC Cancer Registration Course for Russian-speaking Participants,"The International Agency for Research on Cancer (IARC) has initiated the IARC Regional Hub for Cancer Registration in Izmir, Turkey to provide technical guidance to existing cancer registries in Northern Africa, Central and Western Asia, as well as to help implement and develop new Population Based Cancer Registries in the region. The proposed workshop aims to build participantsäó» professional capacity to establish and sustainably maintain high-quality cancer registries providing, in due course, internationally comparable data. By bringing together Russian-speaking cancer registry professionals from 15 countries, the workshop will also serve as a platform for networking within the region and with the Hub in Izmir, providing the opportunity for the participants to discuss barriers and solutions in collection of data, and exchange opinions on ways to improve cancer registration in their countries and the region.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Ariana Znaor,7/14/2016,10/14/2016,TRUE,FALSE,"150, Cours Albert Thomas",,Lyon,France,,45.743411,4.875108,
"Global Cancer: Occurence, Causes and Avenues to Prevention",A conference to discuss today's challenges and design tomorrow's agenda,http://www.iarc-conference2016.com/,,,6/16/2016,6/16/2016,FALSE,FALSE,"150, Cours Albert Thomas",,Lyon,France,,45.743411,4.875108,
"25th American Institute for Cancer Research (AICR) 2016 Research Conference on Nutrition, Physical Activity, Obesity and Cancer","The American Institute for Cancer Research (AICR) Research Conference is a unique forum that brings together researchers and clinicians for a program that is dedicated to increasing knowledge, stimulating research and promoting prevention and treatment of cancer through nutrition, physical activity and weight management.",http://www.aicr.org/cancer-research/conference/,,,11/14/2016,11/16/2016,FALSE,FALSE,Marriott Bethesda North Hotel & Conference Center,,North Bethesda,United States,Maryland,39.044553,-77.118868,
