grid_id,type
grid.4708.b,Education
grid.4709.a,Government
grid.4711.3,Government
grid.4714.6,Education
grid.4748.f,Company
grid.4756.0,Education
grid.4764.1,Facility
grid.4777.3,Education
grid.4793.9,Education
grid.4795.f,Education
grid.4800.c,Education
grid.4807.b,Education
grid.4808.4,Education
grid.4817.a,Education
grid.4818.5,Education
grid.4819.4,Education
grid.4825.b,Facility
grid.4827.9,Education
grid.4828.6,Education
grid.4830.f,Education
grid.4831.e,Nonprofit
grid.4834.b,Nonprofit
grid.4836.9,Facility
grid.4839.6,Education
grid.4842.a,Education
grid.4843.b,Facility
grid.4857.e,Company
grid.4858.1,Nonprofit
grid.4861.b,Education
grid.4862.8,Education
grid.4868.2,Education
grid.4886.2,Government
grid.4903.e,Archive
grid.4905.8,Facility
grid.4912.e,Education
grid.4928.7,Company
grid.4929.6,Company
grid.4947.e,Government
grid.4970.a,Education
grid.4973.9,Healthcare
grid.4987.2,Facility
grid.4989.c,Education
grid.4991.5,Education
grid.4994.0,Education
grid.5012.6,Education
grid.5018.c,Government
grid.5037.1,Education
grid.5072.0,Healthcare
grid.5089.4,Nonprofit
grid.5090.c,Company
grid.5098.4,Education
grid.5100.4,Education
grid.5110.5,Education
grid.5115.0,Education
grid.5117.2,Education
grid.5120.6,Education
grid.5132.5,Education
grid.5133.4,Education
grid.5146.6,Education
grid.5155.4,Education
grid.5162.0,Company
grid.5164.6,Education
grid.5169.b,Company
grid.5170.3,Education
grid.5173.0,Education
grid.5196.b,Government
grid.5214.2,Education
grid.5216.0,Education
grid.5239.d,Education
grid.5252.0,Education
grid.5253.1,Healthcare
grid.5254.6,Education
grid.5259.b,Education
grid.5268.9,Education
grid.5284.b,Education
grid.5288.7,Education
grid.5290.e,Education
grid.5292.c,Education
grid.5319.e,Education
grid.5326.2,Nonprofit
grid.5328.c,Government
grid.5329.d,Education
grid.5330.5,Education
grid.5333.6,Facility
grid.5334.1,Education
grid.5335.0,Education
grid.5336.3,Facility
grid.5337.2,Education
grid.5338.d,Education
grid.5340.2,Facility
grid.5342.0,Education
grid.5361.1,Education
grid.5368.8,Government
grid.5371.0,Education
grid.5373.2,Education
grid.5374.5,Education
grid.5379.8,Education
grid.5380.e,Education
grid.5386.8,Education
grid.5388.6,Education
grid.5390.f,Education
grid.5395.a,Education
grid.5398.7,Nonprofit
grid.5399.6,Education
grid.5403.2,Company
grid.5406.7,Company
grid.5433.1,Company
grid.5465.2,Healthcare
grid.5468.f,Education
grid.5474.2,Facility
grid.5475.3,Education
grid.5477.1,Education
grid.5491.9,Education
grid.5507.7,Education
grid.5509.9,Education
grid.5510.1,Education
grid.5515.4,Education
grid.5522.0,Education
grid.5560.6,Education
grid.5570.7,Education
grid.5571.6,Education
grid.5583.b,Government
grid.5586.e,Government
grid.5590.9,Education
grid.5591.8,Education
grid.5595.c,Company
grid.5596.f,Education
grid.5600.3,Education
grid.5601.2,Education
grid.5602.1,Education
grid.5603.0,Education
grid.5606.5,Education
grid.5607.4,Other
grid.5608.b,Education
grid.5611.3,Education
grid.5612.0,Education
grid.5613.1,Education
grid.5633.3,Education
grid.5637.7,Facility
grid.5640.7,Education
grid.5645.2,Healthcare
grid.5650.6,Healthcare
grid.5659.f,Education
grid.5675.1,Education
grid.5676.2,Education
grid.5681.a,Education
grid.5685.e,Education
grid.5690.a,Education
grid.5718.b,Education
grid.5719.a,Education
grid.5734.5,Education
grid.5740.6,Other
grid.5771.4,Education
grid.5801.c,Education
grid.5802.f,Education
grid.5805.8,Education
grid.5807.a,Education
grid.5808.5,Education
grid.5809.4,Nonprofit
grid.5836.8,Education
grid.5841.8,Education
grid.5842.b,Education
grid.5846.f,Education
grid.5853.b,Facility
grid.5855.d,Facility
grid.5884.1,Education
grid.5887.2,Company
grid.5892.6,Education
grid.5911.c,Company
grid.5924.a,Education
grid.5942.a,Facility
grid.5947.f,Education
grid.5949.1,Education
grid.5963.9,Education
grid.5970.b,Education
grid.5991.4,Facility
grid.5997.2,Company
grid.6045.7,Government
grid.6050.3,Facility
grid.6054.7,Facility
grid.6057.4,Government
grid.6066.6,Company
grid.6068.8,Company
grid.6078.9,Nonprofit
grid.6083.d,Facility
grid.6093.c,Other
grid.6094.b,Nonprofit
grid.6137.3,Company
grid.6142.1,Education
grid.6162.3,Education
grid.6190.e,Education
grid.6203.7,Facility
grid.6214.1,Education
grid.6227.1,Education
grid.6228.e,Other
grid.6268.a,Education
grid.6276.5,Facility
grid.6279.a,Education
grid.6282.e,Facility
grid.6287.b,Company
grid.6289.5,Education
grid.6290.d,Company
grid.6292.f,Education
grid.6303.6,Company
grid.6312.6,Education
grid.6324.3,Nonprofit
grid.6341.0,Education
grid.6357.7,Education
grid.6363.0,Healthcare
grid.6374.6,Education
grid.6383.e,Nonprofit
grid.6385.8,Facility
grid.6390.c,Education
grid.6401.3,Facility
grid.6407.5,Nonprofit
grid.6408.a,Government
grid.6435.4,Facility
grid.6441.7,Education
grid.6451.6,Education
grid.6467.3,Company
grid.6477.2,Company
grid.6484.e,Company
grid.6496.d,Nonprofit
grid.6518.a,Education
grid.6520.1,Education
grid.6530.0,Education
grid.6533.3,Company
grid.6546.1,Education
grid.6553.5,Education
grid.6569.c,Company
grid.6571.5,Education
grid.6572.6,Education
grid.6575.1,Nonprofit
grid.6582.9,Education
grid.6583.8,Education
grid.6584.f,Company
grid.6603.3,Education
grid.6606.6,Nonprofit
grid.6612.3,Education
grid.6615.4,Company
grid.6625.7,Company
grid.6652.7,Education
grid.6717.7,Facility
grid.6722.1,Company
grid.6734.6,Education
grid.6738.a,Education
grid.6759.d,Education
grid.6809.7,Education
grid.6810.f,Education
grid.6827.b,Education
grid.6835.8,Education
grid.6852.9,Education
grid.6862.a,Education
grid.6868.0,Education
grid.6884.2,Education
grid.6890.7,Education
grid.6899.e,Education
grid.6901.e,Education
grid.6903.c,Education
grid.6906.9,Education
grid.6912.c,Education
grid.6926.b,Education
grid.6933.f,Facility
grid.6935.9,Education
grid.6936.a,Education
grid.6963.a,Education
grid.6968.1,Company
grid.6973.b,Education
grid.6975.d,Facility
grid.6977.f,Education
grid.6979.1,Education
grid.6981.6,Education
grid.6986.1,Education
grid.6988.f,Education
grid.6992.4,Education
grid.7005.2,Education
grid.7010.6,Education
grid.7039.d,Education
grid.7048.b,Education
grid.7080.f,Education
grid.7088.7,Government
grid.7107.1,Education
grid.7110.7,Education
grid.7112.5,Education
grid.7114.3,Education
grid.7119.e,Education
grid.7122.6,Education
grid.7123.7,Education
grid.7130.5,Education
grid.7132.7,Education
grid.7143.1,Healthcare
grid.7144.6,Education
grid.7147.5,Education
grid.7149.b,Education
grid.7151.2,Education
grid.7155.6,Education
grid.7157.4,Education
grid.7159.a,Education
grid.7177.6,Education
grid.7188.6,Education
grid.7220.7,Education
grid.7240.1,Education
grid.7247.6,Education
grid.7252.2,Education
grid.7256.6,Education
grid.7269.a,Education
grid.7273.1,Education
grid.7280.d,Company
grid.7307.3,Education
grid.7310.5,Education
grid.7311.4,Education
grid.7320.6,Company
grid.7324.2,Company
grid.7327.1,Government
grid.7336.1,Education
grid.7338.f,Education
grid.7340.0,Education
grid.7345.5,Education
grid.7354.5,Facility
grid.7359.8,Education
grid.7362.0,Education
grid.7367.5,Education
grid.7372.1,Education
grid.7384.8,Education
grid.7399.4,Education
grid.7400.3,Education
grid.7427.6,Education
grid.7429.8,Government
grid.7439.9,Other
grid.7445.2,Education
grid.7450.6,Education
grid.7452.4,Education
grid.7459.f,Education
grid.7468.d,Education
grid.7489.2,Education
grid.7490.a,Facility
grid.7491.b,Education
grid.7492.8,Facility
grid.7497.d,Facility
grid.7520.0,Education
grid.7545.3,Company
grid.7546.0,Company
grid.7547.1,Nonprofit
grid.7548.e,Education
grid.7551.6,Facility
grid.7555.2,Company
grid.7563.7,Education
grid.7597.c,Facility
grid.7605.4,Education
grid.7621.2,Education
grid.7628.b,Education
grid.7632.0,Education
grid.7634.6,Education
grid.7637.5,Education
grid.7644.1,Education
grid.7645.0,Education
grid.7665.2,Nonprofit
grid.7678.e,Facility
grid.7683.a,Facility
grid.7692.a,Healthcare
grid.7700.0,Education
grid.7704.4,Education
grid.7708.8,Healthcare
grid.7719.8,Facility
grid.7722.0,Healthcare
grid.7727.5,Education
grid.7728.a,Education
grid.7737.4,Education
grid.7749.d,Education
grid.7752.7,Education
grid.7759.c,Education
grid.7763.5,Education
grid.7776.1,Education
grid.7778.f,Education
grid.7779.e,Education
grid.7787.f,Education
grid.7821.c,Education
grid.7831.d,Education
grid.7836.a,Education
grid.7839.5,Education
grid.7840.b,Education
grid.7841.a,Education
grid.7849.2,Education
grid.7858.2,Education
grid.7861.8,Facility
grid.7870.8,Education
grid.7872.a,Education
grid.7886.1,Education
grid.7892.4,Education
grid.7898.e,Education
grid.7900.e,Education
grid.7901.f,Education
grid.7902.c,Education
grid.7903.d,Education
grid.7907.9,Education
grid.7914.b,Education
grid.7922.e,Education
grid.7942.8,Education
grid.7943.9,Education
grid.7945.f,Education
grid.7960.8,Education
grid.7973.a,Other
grid.8042.e,Education
grid.8048.4,Education
grid.8049.5,Education
grid.8051.c,Education
grid.8065.b,Education
grid.8073.c,Education
grid.8096.7,Education
grid.8127.c,Education
grid.8142.f,Education
grid.8148.5,Education
grid.8155.9,Education
grid.8158.4,Education
grid.8168.7,Education
grid.8170.e,Education
grid.8171.f,Education
grid.8183.2,Facility
grid.8186.7,Education
grid.8191.1,Education
grid.8192.2,Education
grid.8193.3,Education
grid.8194.4,Education
grid.8195.5,Education
grid.8198.8,Education
grid.8201.b,Education
grid.8207.d,Education
grid.8217.c,Education
grid.8241.f,Education
grid.8250.f,Education
grid.8267.b,Education
grid.8269.5,Education
grid.8271.c,Education
grid.8273.e,Education
grid.8295.6,Education
grid.8301.a,Education
grid.8302.9,Education
grid.8348.7,Healthcare
grid.8356.8,Education
grid.8364.9,Education
grid.8379.5,Education
grid.8385.6,Facility
grid.8389.a,Education
grid.8390.2,Education
grid.8391.3,Education
grid.8393.1,Education
grid.8395.7,Education
grid.8399.b,Education
grid.8404.8,Education
grid.8430.f,Education
grid.8440.8,Facility
grid.8453.a,Facility
grid.8461.b,Education
grid.8464.e,Company
grid.8465.f,Nonprofit
grid.8484.0,Education
grid.8505.8,Education
grid.8509.4,Education
grid.8515.9,Healthcare
grid.8532.c,Education
grid.8534.a,Education
grid.8536.8,Education
grid.8547.e,Education
grid.8563.8,Other
grid.8570.a,Education
grid.8578.2,Education
grid.8581.4,Facility
grid.8585.0,Education
grid.8591.5,Education
grid.8647.d,Education
grid.8652.9,Education
grid.8653.8,Government
grid.8654.f,Facility
grid.8657.c,Government
grid.8658.3,Government
grid.8663.b,Facility
grid.8664.c,Education
grid.8668.0,Government
grid.8669.1,Nonprofit
grid.8682.4,Government
grid.8684.2,Facility
grid.8752.8,Education
grid.8756.c,Education
grid.8761.8,Education
grid.8767.e,Education
grid.8784.3,Company
grid.8831.2,Company
grid.8842.6,Education
grid.8873.4,Company
grid.8905.4,Education
grid.8953.7,Facility
grid.8954.0,Education
grid.8970.6,Facility
grid.8974.2,Education
grid.8982.b,Education
grid.8991.9,Education
grid.8993.b,Education
grid.9001.8,Education
grid.9004.d,Nonprofit
grid.9008.1,Education
grid.9018.0,Education
grid.9024.f,Education
grid.9026.d,Education
grid.9027.c,Education
grid.9067.8,Company
grid.9116.f,Company
grid.9122.8,Education
grid.9132.9,Facility
grid.9156.b,Education
grid.9224.d,Education
grid.9227.e,Government
grid.9238.0,Facility
grid.9273.f,Company
grid.9285.6,Facility
grid.9344.a,Education
grid.9370.d,Government
grid.9371.c,Company
grid.9390.3,Company
grid.9424.b,Education
grid.9427.8,Education
grid.9435.b,Education
grid.9463.8,Education
grid.9464.f,Education
grid.9481.4,Education
grid.9486.3,Education
grid.9489.c,Facility
grid.9499.d,Education
grid.9531.e,Education
grid.9563.9,Education
grid.9580.4,Education
grid.9581.5,Education
grid.9582.6,Education
grid.9594.1,Education
grid.9601.e,Education
grid.9612.c,Education
grid.9613.d,Education
grid.9619.7,Education
grid.9621.c,Education
grid.9647.c,Education
grid.9654.e,Education
grid.9657.d,Education
grid.9659.3,Education
grid.9663.a,Company
grid.9668.1,Education
grid.9670.8,Education
grid.9679.1,Education
grid.9681.6,Education
grid.9689.e,Government
grid.9691.7,Company
grid.9707.9,Education
grid.9723.f,Education
grid.9757.c,Education
grid.9759.2,Education
grid.9762.a,Education
grid.9763.b,Education
grid.9764.c,Education
grid.9783.5,Education
grid.9786.0,Education
grid.9811.1,Education
grid.9829.a,Education
grid.9835.7,Education
grid.9841.4,Education
grid.9845.0,Education
grid.9851.5,Education
grid.9905.5,Education
grid.9906.6,Education
grid.9909.9,Education
grid.9916.7,Education
grid.9918.9,Education
grid.9922.0,Education
grid.9925.7,Education
grid.9966.0,Education
grid.9970.7,Education
grid.9976.1,Healthcare
grid.9982.a,Education
grid.9983.b,Education
grid.9984.c,Government
grid.10025.36,Education
grid.10041.34,Education
grid.10049.3c,Education
grid.10067.30,Education
grid.10090.38,Education
grid.10097.3f,Facility
grid.10210.32,Education
grid.10211.33,Education
grid.10212.30,Education
grid.10214.36,Education
grid.10215.37,Education
grid.10223.32,Education
grid.10251.37,Education
grid.10253.35,Education
grid.10267.32,Education
grid.10291.3b,Education
grid.10306.34,Nonprofit
grid.10328.38,Education
grid.10334.35,Education
grid.10346.30,Education
grid.10347.31,Education
grid.10359.3e,Education
grid.10373.36,Education
grid.10383.39,Education
grid.10388.32,Education
grid.10392.39,Education
grid.10400.35,Education
grid.10403.36,Facility
grid.10404.31,Company
grid.10412.36,Education
grid.10414.30,Education
grid.10417.33,Healthcare
grid.10419.3d,Healthcare
grid.10420.37,Education
grid.10421.36,Education
grid.10423.34,Healthcare
grid.10438.3e,Education
grid.10447.36,Facility
grid.10491.3d,Education
grid.10493.3f,Education
grid.10506.32,Company
grid.10516.33,Education
grid.10548.38,Education
grid.10570.33,Company
grid.10582.3e,Company
grid.10586.3a,Education
grid.10594.39,Education
grid.10595.38,Education
grid.10598.35,Education
grid.10599.34,Education
grid.10601.36,Education
grid.10604.33,Education
grid.10689.36,Education
grid.10690.3e,Education
grid.10692.3c,Education
grid.10698.36,Education
grid.10699.37,Education
grid.10702.34,Education
grid.10706.30,Education
grid.10711.36,Education
grid.10729.3d,Education
grid.10733.36,Education
grid.10737.32,Education
grid.10757.34,Education
grid.10760.30,Company
grid.10761.31,Company
grid.10772.33,Education
grid.10776.37,Education
grid.10784.3a,Education
grid.10789.37,Education
grid.10796.39,Education
grid.10798.37,Education
grid.10800.39,Education
grid.10803.3a,Education
grid.10814.3c,Education
grid.10818.30,Education
grid.10821.3a,Education
grid.10822.39,Education
grid.10824.3f,Education
grid.10825.3e,Education
grid.10837.3d,Education
grid.10839.33,Education
grid.10854.38,Education
grid.10858.34,Education
grid.10863.3c,Education
grid.10877.39,Education
grid.10894.34,Facility
grid.10911.38,Other
grid.10914.3d,Facility
grid.10917.3e,Facility
grid.10919.30,Education
grid.10939.32,Education
grid.10979.36,Education
grid.10984.34,Education
grid.10985.35,Education
grid.10988.38,Education
grid.10992.33,Education
grid.10999.38,Education
grid.11023.31,Company
grid.11024.36,Education
grid.11028.3a,Education
grid.11046.32,Education
grid.11047.33,Education
grid.11081.39,Facility
grid.11100.31,Education
grid.11108.39,Education
grid.11134.36,Education
grid.11135.37,Education
grid.11136.34,Education
grid.11139.3b,Education
grid.11142.37,Education
grid.11159.3d,Education
grid.11162.35,Education
grid.11166.31,Education
grid.11173.35,Education
grid.11175.33,Education
grid.11176.30,Education
grid.11184.3d,Nonprofit
grid.11187.3e,Education
grid.11194.3c,Education
grid.11201.33,Education
grid.11205.37,Education
grid.11220.30,Education
grid.11318.3a,Education
grid.11348.3f,Education
grid.11355.33,Education
grid.11374.30,Education
grid.11375.31,Facility
grid.11381.3a,Nonprofit
grid.11417.32,Education
grid.11444.34,Facility
grid.11447.37,Company
grid.11450.31,Education
grid.11451.30,Education
grid.11469.3b,Facility
grid.11477.34,Education
grid.11478.3b,Nonprofit
grid.11480.3c,Education
grid.11485.39,Nonprofit
grid.11486.3a,Facility
grid.11492.3f,Nonprofit
grid.11500.35,Education
grid.11503.36,Archive
grid.11505.30,Nonprofit
grid.11543.32,Facility
grid.11553.33,Education
grid.11560.33,Education
grid.11567.34,Education
grid.11586.3b,Healthcare
grid.11598.34,Education
grid.11619.3e,Education
grid.11630.35,Education
grid.11642.30,Education
grid.11667.37,Education
grid.11696.39,Education
grid.11698.37,Education
grid.11702.35,Education
grid.11744.37,Nonprofit
grid.11749.3a,Education
grid.11762.33,Education
grid.11780.3f,Education
grid.11793.3d,Education
grid.11794.3a,Education
grid.11804.3c,Education
grid.11835.3e,Education
grid.11841.3d,Education
grid.11843.3f,Education
grid.11866.38,Education
grid.11869.37,Education
grid.11875.3a,Education
grid.11887.37,Education
grid.11893.32,Education
grid.11899.38,Education
grid.11906.3f,Education
grid.11914.3c,Education
grid.11918.30,Education
grid.11942.3f,Education
grid.11951.3d,Education
grid.11956.3a,Education
grid.11984.35,Education
grid.12026.37,Education
grid.12039.39,Facility
grid.12056.30,Education
grid.12082.39,Education
grid.12104.36,Education
grid.12112.31,Facility
grid.12136.37,Education
grid.12148.3e,Education
grid.12155.32,Education
grid.12245.30,Company
grid.12284.3d,Education
grid.12295.3d,Education
grid.12306.36,Education
grid.12316.37,Education
grid.12319.38,Education
grid.12332.31,Education
grid.12337.34,Company
grid.12341.35,Education
grid.12361.37,Education
grid.12362.34,Education
grid.12364.32,Education
grid.12366.30,Education
grid.12370.37,Other
grid.12380.38,Education
grid.12391.38,Education
grid.12477.37,Education
grid.12513.34,Company
grid.12525.31,Education
grid.12527.33,Education
grid.12574.35,Education
grid.12597.38,Education
grid.12611.35,Education
grid.12641.30,Education
grid.12650.30,Education
grid.12711.34,Education
grid.12799.34,Education
grid.12810.3a,Education
grid.12826.3f,Facility
grid.12832.3a,Education
grid.12847.38,Education
grid.12896.34,Education
grid.12916.3d,Education
grid.12955.3a,Education
grid.12981.33,Education
grid.12984.36,Education
grid.13001.33,Education
grid.13063.37,Education
grid.13097.3c,Education
grid.13252.37,Education
grid.13276.31,Education
grid.13291.38,Education
grid.13327.34,Facility
grid.13339.3b,Education
grid.13349.3c,Government
grid.13388.31,Facility
grid.13394.3c,Education
grid.13399.31,Facility
grid.13402.34,Education
grid.13414.33,Nonprofit
grid.13428.3c,Nonprofit
grid.13464.34,Facility
grid.13508.3f,Facility
grid.13515.33,Company
grid.13570.30,Other
grid.13574.34,Government
grid.13606.32,Government
grid.13622.34,Other
grid.13648.38,Healthcare
grid.13652.33,Government
grid.13687.3b,Company
grid.13689.35,Government
grid.13719.3d,Education
grid.13739.3f,Company
grid.13745.34,Company
grid.13751.31,Other
grid.13753.33,Other
grid.13756.36,Other
grid.13788.35,Company
grid.13790.3c,Company
grid.13796.3a,Company
grid.13797.3b,Education
grid.13799.35,Company
grid.13822.3a,Nonprofit
grid.13825.3d,Education
grid.13829.31,Facility
grid.13856.39,Education
grid.13946.39,Facility
grid.13950.3e,Facility
grid.13985.36,Government
grid.13986.35,Nonprofit
grid.13992.30,Education
grid.14001.34,Education
grid.14003.36,Education
grid.14004.31,Education
grid.14005.30,Education
grid.14009.3c,Other
grid.14013.37,Education
grid.14039.3f,Company
grid.14076.34,Company
grid.14094.38,Government
grid.14095.39,Education
grid.14105.31,Government
grid.14127.31,Company
grid.14170.33,Education
grid.14263.32,Education
grid.14329.3d,Education
grid.14332.37,Facility
grid.14335.30,Facility
grid.14352.31,Education
grid.14416.36,Facility
grid.14440.35,Education
grid.14442.37,Education
grid.14454.30,Facility
grid.14467.30,Government
grid.14476.30,Education
grid.14498.30,Facility
grid.14509.39,Education
grid.14587.3f,Company
grid.14601.32,Company
grid.14617.35,Nonprofit
grid.14647.30,Nonprofit
grid.14648.3f,Company
grid.14709.3b,Education
grid.14724.34,Education
grid.14750.37,Nonprofit
grid.14751.36,Nonprofit
grid.14758.3f,Facility
grid.14778.3d,Healthcare
grid.14826.39,Facility
grid.14830.3e,Facility
grid.14841.38,Facility
grid.14848.31,Education
grid.14868.33,Education
grid.14899.3d,Facility
grid.14906.3a,Education
grid.14925.3b,Facility
grid.15011.34,Facility
grid.15034.33,Education
grid.15040.30,Facility
grid.15043.33,Education
grid.15058.39,Nonprofit
grid.15060.32,Nonprofit
grid.15078.3b,Education
grid.15090.3d,Healthcare
grid.15098.35,Government
grid.15140.31,Education
grid.15165.36,Company
grid.15227.33,Education
grid.15237.32,Company
grid.15276.37,Education
grid.15312.34,Government
grid.15363.32,Education
grid.15399.37,Education
grid.15401.31,Education
grid.15419.38,Company
grid.15444.30,Education
grid.15447.33,Education
grid.15449.3d,Education
grid.15462.34,Education
grid.15474.33,Healthcare
grid.15485.3d,Healthcare
grid.15496.3f,Education
grid.15538.3a,Education
grid.15540.35,Government
grid.15585.3c,Company
grid.15596.3e,Education
grid.15606.34,Government
grid.15628.38,Healthcare
grid.15638.39,Facility
grid.15649.3f,Facility
grid.15653.34,Education
grid.15667.33,Healthcare
grid.15683.39,Nonprofit
grid.15711.33,Education
grid.15736.36,Education
grid.15751.37,Education
grid.15756.30,Education
grid.15762.37,Nonprofit
grid.15774.30,Company
grid.15775.31,Education
grid.15781.3a,Education
grid.15788.33,Education
grid.15810.3d,Education
grid.15819.34,Government
grid.15822.3c,Education
grid.15823.3d,Education
grid.15866.3c,Education
grid.15874.3f,Education
grid.15876.3d,Education
grid.15878.33,Education
grid.15895.30,Education
grid.15935.3b,Government
grid.16008.3f,Education
grid.16058.3a,Education
grid.16068.39,Education
grid.16082.3d,Other
grid.16117.30,Facility
grid.16149.3b,Healthcare
grid.16189.37,Other
grid.16299.35,Education
grid.16326.30,Facility
grid.16330.37,Company
grid.16388.34,Nonprofit
grid.16416.34,Education
grid.16425.34,Education
grid.16463.36,Education
grid.16477.33,Education
grid.16487.3c,Education
grid.16488.33,Education
grid.16499.33,Education
grid.16527.37,Government
grid.16549.3f,Facility
grid.16563.37,Education
grid.16610.30,Other
grid.16662.35,Education
grid.16697.3f,Education
grid.16713.32,Government
grid.16719.38,Nonprofit
grid.16734.37,Education
grid.16750.35,Education
grid.16753.36,Education
grid.16780.38,Education
grid.16813.3d,Facility
grid.16821.3c,Education
grid.16872.3a,Healthcare
grid.16890.36,Education
grid.16962.3a,Company
grid.16977.3e,Education
grid.16982.34,Education
grid.16985.33,Education
grid.16989.3f,Nonprofit
grid.16990.37,Nonprofit
grid.17033.36,Nonprofit
grid.17041.33,Education
grid.17063.33,Education
grid.17083.3d,Education
grid.17088.36,Education
grid.17089.37,Education
grid.17091.3e,Education
grid.17095.3a,Facility
grid.17100.37,Government
grid.17127.32,Education
grid.17133.37,Other
grid.17165.34,Education
grid.17236.31,Education
grid.17242.32,Education
grid.17268.3a,Company
grid.17272.31,Nonprofit
grid.17277.34,Company
grid.17303.36,Facility
grid.17329.3e,Education
grid.17330.36,Education
grid.17374.36,Other
grid.17380.3d,Company
grid.17423.33,Facility
grid.17513.31,Company
grid.17516.34,Company
grid.17568.3d,Company
grid.17595.3f,Facility
grid.17635.36,Education
grid.17673.34,Facility
grid.17678.3f,Education
grid.17682.3a,Education
grid.17689.31,Education
grid.17703.32,Government
grid.17758.3c,Education
grid.17788.31,Healthcare
grid.17794.3c,Archive
grid.17866.3e,Healthcare
grid.17867.3f,Healthcare
grid.18038.32,Education
grid.18048.35,Education
grid.18068.37,Government
grid.18098.38,Education
grid.18101.39,Education
grid.18112.3b,Education
grid.18147.3b,Education
grid.18192.33,Education
grid.18228.31,Other
grid.18376.3b,Education
grid.18377.3a,Nonprofit
grid.18665.3c,Facility
grid.18763.3b,Education
grid.18785.33,Company
grid.18803.32,Education
grid.18827.34,Nonprofit
grid.18840.35,Company
grid.18883.3a,Education
grid.18886.3f,Education
grid.18887.3e,Healthcare
grid.18888.31,Facility
grid.18919.38,Facility
grid.18999.30,Education
grid.19003.3b,Education
grid.19006.3e,Education
grid.19008.30,Company
grid.19026.3c,Healthcare
grid.19061.3f,Facility
grid.19096.37,Government
grid.19100.39,Government
grid.19169.36,Nonprofit
grid.19188.39,Education
grid.19190.30,Education
grid.19208.32,Education
grid.19214.3f,Government
grid.19241.3f,Other
grid.19373.3f,Education
grid.19390.32,Other
grid.19397.35,Education
